longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.23,37.88,41.0,69.84126984126985,10.238095238095237,322.0,25.555555555555554,8.3252,4.526,NEAR BAY
-122.22,37.86,21.0,62.38137082601054,9.718804920913884,2401.0,21.09841827768014,8.3014,3.585,NEAR BAY
-122.24,37.85,52.0,82.88135593220339,10.73446327683616,496.0,28.0225988700565,7.2574,3.521,NEAR BAY
-122.25,37.85,52.0,58.17351598173516,10.730593607305936,558.0,25.47945205479452,5.6431,3.413,NEAR BAY
-122.25,37.85,52.0,62.818532818532816,10.81081081081081,565.0,21.81467181467181,3.8462,3.422,NEAR BAY
-122.25,37.85,52.0,47.61658031088083,11.036269430051814,413.0,21.39896373056995,4.0368,2.697,NEAR BAY
-122.25,37.84,52.0,49.31906614785993,9.513618677042802,1094.0,21.284046692607003,3.6591,2.992,NEAR BAY
-122.25,37.84,52.0,47.97527047913447,10.61823802163833,1157.0,17.882534775888715,3.12,2.414,NEAR BAY
-122.26,37.84,42.0,42.94117647058823,11.176470588235293,1206.0,20.26890756302521,2.0804,2.267,NEAR BAY
-122.25,37.84,52.0,49.705882352941174,9.901960784313726,1551.0,21.72268907563025,3.6912,2.611,NEAR BAY
-122.26,37.85,52.0,54.776119402985074,10.796019900497512,910.0,22.636815920398007,3.2031,2.815,NEAR BAY
-122.26,37.85,52.0,47.724795640326974,10.245231607629428,1504.0,20.490463215258856,3.2705,2.418,NEAR BAY
-122.26,37.85,52.0,53.22649572649573,10.128205128205128,1098.0,23.461538461538463,3.075,2.135,NEAR BAY
-122.26,37.84,52.0,40.0,10.977011494252872,345.0,19.82758620689655,2.6736,1.913,NEAR BAY
-122.26,37.85,52.0,42.62903225806451,10.096774193548388,1212.0,19.548387096774192,1.9167,1.592,NEAR BAY
-122.26,37.85,50.0,42.42424242424242,10.71969696969697,697.0,26.401515151515152,2.125,1.4,NEAR BAY
-122.27,37.85,52.0,59.39577039274924,10.483383685800604,793.0,23.95770392749245,2.775,1.525,NEAR BAY
-122.27,37.85,52.0,40.528052805280524,9.66996699669967,648.0,21.386138613861387,2.1202,1.555,NEAR BAY
-122.26,37.84,50.0,53.436754176610975,10.859188544152744,990.0,23.627684964200476,1.9911,1.587,NEAR BAY
-122.27,37.84,52.0,54.654545454545456,10.836363636363638,690.0,25.090909090909093,2.6033,1.629,NEAR BAY
-122.27,37.85,40.0,45.24096385542169,11.08433734939759,409.0,24.63855421686747,1.3578,1.475,NEAR BAY
-122.27,37.85,42.0,44.78142076502732,10.027322404371583,929.0,25.382513661202182,1.7135,1.598,NEAR BAY
-122.27,37.84,52.0,50.96234309623431,11.317991631799163,1015.0,21.234309623430963,1.725,1.139,NEAR BAY
-122.27,37.84,52.0,51.93846153846154,10.369230769230768,853.0,26.24615384615385,2.1806,0.997,NEAR BAY
-122.27,37.84,52.0,52.70142180094787,10.355450236966826,1006.0,23.838862559241708,2.6,1.326,NEAR BAY
-122.28,37.85,41.0,44.957983193277315,10.336134453781513,317.0,26.63865546218487,2.4038,1.075,NEAR BAY
-122.28,37.85,49.0,47.28033472803347,10.209205020920502,607.0,25.397489539748953,2.4597,0.938,NEAR BAY
-122.28,37.85,52.0,47.80856423173803,10.604534005037783,1102.0,27.758186397984886,1.808,1.055,NEAR BAY
-122.28,37.84,50.0,44.016913319238895,10.40169133192389,1131.0,23.911205073995774,1.6424,1.089,NEAR BAY
-122.28,37.84,52.0,47.03225806451613,10.32258064516129,395.0,25.483870967741936,1.6875,1.32,NEAR BAY
-122.28,37.84,49.0,50.68783068783069,11.825396825396826,863.0,22.830687830687832,1.9274,1.223,NEAR BAY
-122.28,37.84,52.0,48.82086167800453,10.90702947845805,1168.0,26.485260770975056,1.9615,1.152,NEAR BAY
-122.27,37.84,48.0,57.373134328358205,12.208955223880597,1026.0,30.626865671641788,1.7969,1.104,NEAR BAY
-122.27,37.83,49.0,50.30395136778115,11.124620060790274,754.0,22.91793313069909,1.375,1.049,NEAR BAY
-122.27,37.83,51.0,49.72014925373134,10.708955223880597,1258.0,23.470149253731343,2.7303,1.097,NEAR BAY
-122.27,37.83,49.0,46.02272727272727,10.681818181818182,570.0,21.590909090909093,1.4861,0.972,NEAR BAY
-122.27,37.83,48.0,48.07486631016043,11.550802139037433,987.0,26.390374331550802,1.0972,1.045,NEAR BAY
-122.28,37.83,52.0,37.493796526054595,9.67741935483871,901.0,22.35732009925558,1.4103,1.039,NEAR BAY
-122.26,37.83,52.0,47.57281553398058,10.679611650485437,689.0,22.297734627831716,3.48,1.914,NEAR BAY
-122.26,37.83,52.0,34.94252873563219,10.272988505747128,1377.0,19.78448275862069,2.5898,1.76,NEAR BAY
-122.26,37.83,52.0,42.151898734177216,10.607594936708862,946.0,23.949367088607595,2.0978,1.554,NEAR BAY
-122.26,37.83,51.0,37.59036144578313,12.489959839357429,517.0,20.76305220883534,1.2852,1.5,NEAR BAY
-122.26,37.84,49.0,37.72486772486773,10.687830687830688,462.0,24.444444444444446,1.025,1.188,NEAR BAY
-122.26,37.84,52.0,47.97979797979798,10.2020202020202,467.0,23.585858585858585,3.9643,1.888,NEAR BAY
